1.45E-04,1.82E-04,1.85E-04,3.66E-05,0.00E+00
5.62E-04,7.09E-04,7.17E-04,1.03E-04,0.00E+00
8.55E-04,1.17E-03,1.18E-03,5.36E-05,8.80E-04
1.01E-04,1.77E-04,1.79E-04,1.21E-04,0.00E+00
2.65E-04,4.93E-04,4.96E-04,6.41E-04,0.00E+00
6.16E-04,1.24E-03,1.25E-03,3.93E-03,0.00E+00
5.34E-05,4.91E-05,5.07E-05,1.65E-05,0.00E+00
1.32E-04,1.62E-04,1.65E-04,1.70E-05,1.05E-04
6.43E-04,7.91E-04,8.00E-04,1.89E-04,0.00E+00
3.37E-05,3.16E-05,3.21E-05,7.66E-06,0.00E+00
2.97E-04,2.96E-04,2.98E-04,1.58E-04,0.00E+00
9.15E-04,1.27E-03,1.28E-03,2.30E-03,0.00E+00
9.71E-05,9.19E-05,9.31E-05,1.49E-05,0.00E+00
4.26E-04,4.84E-04,4.87E-04,2.42E-05,3.22E-04
9.41E-04,1.52E-03,1.52E-03,3.92E-03,0.00E+00
1.49E-04,1.73E-04,1.78E-04,3.32E-05,0.00E+00
3.49E-04,4.25E-04,4.33E-04,6.48E-05,0.00E+00
8.64E-04,1.01E-03,1.02E-03,1.81E-04,0.00E+00
2.35E-04,3.23E-04,3.25E-04,7.37E-04,0.00E+00
6.89E-04,1.04E-03,1.05E-03,6.64E-03,0.00E+00
1.72E-03,3.20E-03,3.20E-03,3.35E-02,0.00E+00
9.12E-05,1.11E-04,1.12E-04,9.13E-06,7.64E-05
1.44E-04,1.67E-04,1.69E-04,4.43E-05,0.00E+00
5.32E-04,6.09E-04,6.13E-04,6.76E-04,0.00E+00
2.93E-04,3.48E-04,3.51E-04,3.78E-04,0.00E+00
1.11E-03,1.50E-03,1.50E-03,5.88E-03,0.00E+00
3.85E-03,5.32E-03,5.33E-03,4.53E-02,0.00E+00
2.96E-05,2.87E-05,2.90E-05,8.08E-05,0.00E+00
4.63E-04,5.56E-04,5.58E-04,6.47E-03,0.00E+00
1.12E-03,1.56E-03,1.56E-03,2.20E-02,4.09E-08
1.51E-04,1.68E-04,1.69E-04,1.48E-03,0.00E+00
2.71E-04,4.05E-04,4.06E-04,4.67E-03,0.00E+00
7.06E-04,9.99E-04,1.00E-03,1.39E-02,0.00E+00
4.38E-05,6.89E-05,6.93E-05,6.01E-04,0.00E+00
1.40E-04,1.93E-04,1.94E-04,2.25E-03,0.00E+00
6.89E-04,1.05E-03,1.05E-03,1.63E-02,2.92E-08
9.76E-05,1.10E-04,1.12E-04,5.98E-05,0.00E+00
2.20E-04,2.71E-04,2.75E-04,1.77E-04,0.00E+00
8.97E-04,1.45E-03,1.46E-03,1.47E-03,0.00E+00
